movieNm,audiAcc
암수살인,2194824
베놈,2687623
안시성,5268968
스타 이즈 본,53157
곰돌이 푸 다시 만나 행복해,324718
협상,1948885
펭귄 하이웨이,1499
그랜드 부다페스트 호텔,782941
리즈와 파랑새,8679
배반의 장미,1012
